item_no,item_name,source_id,evidence_id,claim_id,subject_uri,claim,relation,object_uri,date_value,date_precision,date_value_status,has_estimation,claim_status,date_status,verification_status,review_flag,source_title,source_url,evidence_note,change_history,verification_date
23,유영모,SRC-013,EVD-013,CLM-013,:유영모,유영모는 오산학교에서 재직하였다.,재직,:오산학교,,,,false,confirmed,not_directly_verified,directly_verified,none,유영모,https://encykorea.aks.ac.kr/Article/E0041674,,"v9.1 pre-TTL cleanup; provenance retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지 | v9.5: date_status 공란→not_directly_verified 정합화. 재직은 시작 시점이 존재하는 사건이나, 정확한 날짜를 직접 확인하지 못함",2026-08-29
25,양기탁,SRC-001,EVD-001,CLM-046,:양기탁,양기탁은 신민회에 소속되어 핵심 인물로 활동하였다.,소속,:신민회,,,,false,confirmed_indirect,not_directly_verified,directly_verified,none,신민회,https://encykorea.aks.ac.kr/Article/E0032974,신민회 공식 명단에서 확인; EVD-001 재사용,"v9.1 pre-TTL cleanup; 1 Evidence→N Claim retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지 | v9.4: claim 문장에 '소속되어'를 명시해 relation(소속)과의 의미 간극을 좁힘",2026-08-29
26,안명근,SRC-014,EVD-014,CLM-014,:안악사건,안악사건은 이후 105인 사건으로 이어지는 계기 가운데 하나로 언급된다.,related_to,:105인사건,1910-11,Month,source_stated,false,confirmed,verified,directly_verified,none,안명근,https://encykorea.aks.ac.kr/Article/E0034719,,"v9.1 pre-TTL cleanup; provenance retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지 | v9.4: subject_uri를 :안명근(인물)에서 :안악사건(사건)으로 정정 — claim 문장의 실제 주어와 일치시킴. object_uri=:105인사건 추가(relation=related_to 대상 명시). item_no/item_name(26/안명근)은 원본 매핑 출처이므로 유지, subject 엔티티와는 의도적으로 다름을 기록",2026-08-29
27,홍범도,SRC-106,EVD-106,CLM-027-04,:홍범도,홍범도는 봉오동전투에서 독립군을 이끌었다.,참여,:봉오동전투,,,,false,confirmed,not_applicable,directly_verified,none,홍범도,https://encykorea.aks.ac.kr/Article/E0064093,,"v9.1 pre-TTL cleanup; retained; inferred personal date Claim removed | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지 | v9.5: date_status 공란→not_applicable 정합화. 참여 사실 자체에는 날짜를 부여하지 않음(Rule G-02, 사건일은 별도 CLM-EVENT-017이 담당)",2026-08-29
29,최광옥,SRC-001,EVD-001,CLM-035,:최광옥,최광옥이 신민회에 소속되어 활동하였다.,소속,:신민회,,,,false,confirmed_indirect,not_directly_verified,directly_verified,none,신민회,https://encykorea.aks.ac.kr/Article/E0032974,신민회 공식 명단에서 확인; EVD-001 재사용,v9.1 pre-TTL cleanup; retained as indirectly confirmed from membership list | v9.3: 수정 — claim 문장을 relation(소속)과 일치하도록 '최광옥이 신민회 민족운동 활동과 관련되었다.' → '최광옥이 신민회에 소속되어 활동하였다.'으로 정규화,2026-08-29
32,이종호,SRC-016,EVD-016,CLM-016,:이종호,이종호는 신민회에 소속되어 중심 인물로 활동하였다.,소속,:신민회,,,,false,confirmed,not_directly_verified,directly_verified,none,이종호,https://encykorea.aks.ac.kr/Article/E0045955,,"v9.1 pre-TTL cleanup; provenance retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지 | v9.4: claim 문장에 '소속되어'를 명시해 relation(소속)과의 의미 간극을 좁힘 (CLM-046과 동일 패턴 일괄 정규화) | v9.5: date_status 공란→not_directly_verified 정합화. 신민회 소속(가입)은 특정 시점에 일어난 사건이나, 정확한 날짜를 직접 확인하지 못함",2026-08-29
33,손병희,SRC-017,EVD-017,CLM-017,:손병희,손병희는 3·1운동 추진 과정에서 천도교측 주도체의 중심 인물이었다.,참여,:3.1운동,,,,false,confirmed,not_applicable,directly_verified,none,손병희,https://encykorea.aks.ac.kr/Article/E0030507,,"v9.1 pre-TTL cleanup; provenance retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지 | v9.5: date_status 공란→not_applicable 정합화. 3·1운동 참여 사실. 개인 참여일을 사건일(1919-03-01)에서 자동상속하지 않음(Rule G-02)",2026-08-29
34,이회영,SRC-018,EVD-018,CLM-018,:이회영,이회영은 신민회에 소속되어 중심 인물로 활동하였다.,소속,:신민회,,,,false,confirmed,not_directly_verified,directly_verified,none,이회영,https://encykorea.aks.ac.kr/Article/E0046635,,"v9.1 pre-TTL cleanup; provenance retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지 | v9.4: claim 문장에 '소속되어'를 명시해 relation(소속)과의 의미 간극을 좁힘 (CLM-046과 동일 패턴 일괄 정규화) | v9.5: date_status 공란→not_directly_verified 정합화. 신민회 소속(가입)은 특정 시점에 일어난 사건이나, 정확한 날짜를 직접 확인하지 못함",2026-08-29
35,이시영,SRC-019,EVD-019,CLM-019,:이시영,이시영은 신민회에 소속되어 중심 인물로 활동하였다.,소속,:신민회,,,,false,confirmed,not_directly_verified,directly_verified,none,이시영,https://encykorea.aks.ac.kr/Article/E0044990,,"v9.1 pre-TTL cleanup; provenance retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지 | v9.4: claim 문장에 '소속되어'를 명시해 relation(소속)과의 의미 간극을 좁힘 (CLM-046과 동일 패턴 일괄 정규화) | v9.5: date_status 공란→not_directly_verified 정합화. 신민회 소속(가입)은 특정 시점에 일어난 사건이나, 정확한 날짜를 직접 확인하지 못함",2026-08-29
39,이종일,SRC-109,EVD-109,CLM-039-02,:이종일,이종일이 1919년 2월 27일 보성사에서 독립선언서 인쇄를 주도하였다.,인쇄주도,:독립선언서,1919-02-27,Day,source_stated,false,confirmed,verified,directly_verified,none,이종일,https://encykorea.aks.ac.kr/Article/E0045940,우리역사넷 사료에서도 동일 사실 교차확인,"v9.1 pre-TTL cleanup; cross-source corroboration retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지",2026-08-29
40,한용운,SRC-006,EVD-006,CLM-020,:한용운,한용운은 3·1운동에 참여한 민족대표 가운데 한 사람이다.,참여,:3.1운동,,,,false,confirmed,not_applicable,directly_verified,none,3·1운동,https://encykorea.aks.ac.kr/Article/E0026772,,"v9.1 pre-TTL cleanup; provenance retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지 | v9.5: date_status 공란→not_applicable 정합화. 3·1운동 참여 사실. 개인 참여일을 사건일에서 자동상속하지 않음(Rule G-02)",2026-08-29
41,오세창,SRC-006,EVD-006,CLM-021,:오세창,오세창은 3·1운동 추진 과정에서 천도교측 주도체의 중심 인물이었다.,참여,:3.1운동,,,,false,confirmed,not_applicable,directly_verified,none,3·1운동,https://encykorea.aks.ac.kr/Article/E0026772,3·1독립선언서(E0026764)에서도 교차확인,"v9.1 pre-TTL cleanup; cross-reference note retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지 | v9.5: date_status 공란→not_applicable 정합화. 3·1운동 참여 사실. 개인 참여일을 사건일에서 자동상속하지 않음(Rule G-02)",2026-08-29
42,김좌진,SRC-111,EVD-111,CLM-KIM-01,:김좌진,김좌진이 신민회에 가입하였다.,가입,:신민회,,,,false,confirmed,not_directly_verified,directly_verified,none,김좌진,https://encykorea.aks.ac.kr/Article/E0010528,신민회에 가입하였고 청년학우회에서도 활동,"v9.1 pre-TTL cleanup; 1 Evidence→N Claim retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지",2026-08-29
42,김좌진,SRC-111,EVD-111,CLM-KIM-02,:김좌진,김좌진이 청년학우회에서 활동하였다.,활동,:청년학우회,,,,false,confirmed,not_directly_verified,directly_verified,none,김좌진,https://encykorea.aks.ac.kr/Article/E0010528,동일 문장이 CLM-KIM-01·02 두 Claim을 지지,"v9.1 pre-TTL cleanup; 1 Evidence→N Claim retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지",2026-08-29
43,서일,SRC-112,EVD-112,CLM-022a,:서일,서일은 북로군정서와 관련된 독립운동가이다.,related_to,:북로군정서,,,,false,confirmed,not_applicable,directly_verified,none,북로군정서,https://encykorea.aks.ac.kr/Article/E0024657,,"v9.1 pre-TTL cleanup; split from combined draft row | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지 | v9.5: date_status 공란→not_applicable 정합화. 북로군정서와의 '관련' 성격을 서술할 뿐, 특정 시점의 사건이 아님",2026-08-29
45,이승만,SRC-113,EVD-113,CLM-023,:이승만,이승만은 대한민국임시정부와 관련된 독립운동가이다.,related_to,:대한민국임시정부,1919-09-11,Day,source_stated,false,confirmed,verified,directly_verified,none,대한민국 임시정부 헌법,https://encykorea.aks.ac.kr/Article/E0015021,대한민국임시정부 헌법의 국무원 구성 관련 근거; source/evidence를 헌법 항목에 맞게 정정,"v9.1 pre-TTL cleanup; corrected source/evidence mapping from draft | v9.2: source_id/evidence_id를 SRC-004→SRC-113으로 재정렬(URL 불일치 재발 수정) | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지",2026-08-29
47,최린,SRC-024,EVD-024,CLM-024,:최린,최린은 3·1운동 추진 과정에서 천도교측 주도체에 합류하였다.,참여,:3.1운동,,,,false,confirmed,not_applicable,directly_verified,none,최린,https://encykorea.aks.ac.kr/Article/E0057276,,"v9.1 pre-TTL cleanup; provenance retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지 | v9.5: date_status 공란→not_applicable 정합화. 3·1운동 참여 사실. 개인 참여일을 사건일에서 자동상속하지 않음(Rule G-02)",2026-08-29
48,정춘수,SRC-006,EVD-006,CLM-025,:정춘수,정춘수는 3·1운동 민족대표 33인 가운데 한 사람이다.,참여,:3.1운동,,,,false,confirmed,not_applicable,directly_verified,none,3·1운동,https://encykorea.aks.ac.kr/Article/E0026772,,"v9.1 pre-TTL cleanup; provenance retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지 | v9.5: date_status 공란→not_applicable 정합화. 3·1운동 참여 사실. 개인 참여일을 사건일에서 자동상속하지 않음(Rule G-02)",2026-08-29
